id,phrase,source,ragil,is_verified,visibility_tier,category,vip_source,has_notes,in_post_links,corpus_role,rule_applied,confidence,cluster_id
063071ac-3510-47b4-90c1-a4580087a0e9,וישבתם בטח,auto:תיעוד אירועים wp34433,777,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp34433,high,
6b7f5f69-2cfa-429f-aa97-4a90684a83f4,שבע השנים,auto:תיעוד אירועים wp34433,777,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp34433,high,
31059606-4508-48b3-9368-ddf68c46c0ef,כתל המערבי,auto:תיעוד אירועים wp34433,777,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp34433,high,
99e2e69a-596a-422f-b518-fa33d21a85f3,תלמוד ירושלמי,auto:תיעוד אירועים wp34433,1076,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp34433,high,
158e736c-5b54-4d66-8d6d-13ce88a854a5,ליל שמורים,auto:תיעוד אירועים wp34820,666,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp34820,high,
c92cd1b3-e012-4212-b92f-cfed5b03df8e,קול התור,auto:תיעוד אירועים wp35497,747,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp35497,high,
cd63d9fc-71ad-4783-9e19-fbadc4d93930,יופי אלהי,auto:תיעוד אירועים wp35615,152,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp35615,high,
f0d0c62a-7009-4f6e-ab19-96804037434e,חק נבצרות,auto:תיעוד אירועים wp35642,856,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp35642,high,
4fb8a9b5-6143-49a7-90a7-8f639f42ec6c,יום העצמאות עז למדינת ישראל,auto:תיעוד אירועים wp35669,1820,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp35669,high,
7581a457-3661-4938-b010-97ed82226d8c,חננאל וצאלה,auto:תיעוד אירועים wp35727,271,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp35727,high,
ad88a0cc-50c7-46c7-a976-45f8cd37908a,תהילה על תהילה,auto:תיעוד אירועים wp35827,1000,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp35827,high,
c127a445-cdf6-4f2c-9b33-4162e74108a9,אתה אשם,auto:תיעוד אירועים wp35827,747,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp35827,high,
0658cbeb-1c27-4579-bd7b-223fe88279b0,הבן יקיר לי אפרים,auto:תיעוד אירועים wp35827,748,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp35827,high,
b250b2dc-3cd5-4d9e-a0cb-ac99bf6639f3,יום השבת,auto:תיעוד אירועים wp35827,763,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp35827,high,
80077970-1be3-404f-ba57-9d22baf576f3,גרעין איראן,auto:תיעוד אירועים wp35827,595,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp35827,high,
9b23313b-449a-4839-b1f6-675b1620cae4,עם הנצח,auto:תיעוד אירועים wp35844,263,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp35844,high,
45c4e6c3-de23-4770-a24a-1e74b57cfe21,ניסים גדולים,auto:תיעוד אירועים wp35844,263,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp35844,high,
6865cba5-094e-450e-9c59-a7b1c4dc8e32,מצעדי הגאווה,auto:תיעוד אירועים wp35844,240,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp35844,high,
6a2af349-eb6e-45dc-b8c1-aef677afdaa0,זמן השבע,auto:תיעוד אירועים wp36007,474,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp36007,high,
