id,phrase,source,ragil,is_verified,visibility_tier,dna_status,category,vip_source,has_notes,corpus_role,rule_applied,confidence,cluster_id
"ef0bfdbf-0bb4-493f-9366-b97a1b37cd6d","אהבתי לך לעולם","excel_import","644","true","3","appendix","כללי","","false","research_vocabulary","verified_general_no_extra_notes","medium",""
"ef0eae82-6ac1-4381-b234-3502eb5a62c2","הגאולה באחרית הימים","excel_import","776","true","3","appendix","גאולה","","true","thematic_corpus","thematic_category_verified","high",""
"ef16a32e-5d34-45c3-bba5-c19697c1643c","לך דירה בתחתונים 784","excel_import","4500","false","3","appendix","כללי","","true","archival_raw","raw_unparsed_formula_dump","medium",""
"ef34b5bd-b7dd-45dd-b98d-eb346dcebfe0","מי הוא מלך שגזירותיו קשות כהמן","excel_import","2015","false","3","appendix","כללי","","false","research_vocabulary","unverified_general_candidate","low",""
"ef3dbc8c-3d60-4f3d-bcea-e0bfd50fc90f","משיח ישלים מקדש מן השמים ∆","excel_import","6441","false","3","appendix","משיח","","false","thematic_corpus","thematic_category_unverified","low",""
"ef3e202c-80c8-46d6-a7a0-ee881de224a4","רוחו של משיח מרחפת על פני המים","excel_import","1971","false","3","appendix","משיח","","true","thematic_corpus","thematic_category_unverified","medium",""
"ef3fc9d4-9a84-4a7c-935e-2088fc22b0da","ימשח אותי למלך המשיח בעת נון","excel_import","1836","false","3","appendix","משיח","","true","thematic_corpus","thematic_category_unverified","medium",""
"ef5077b3-7c4b-43fe-a055-7b149d4478f3","וְאָמַרְתָּ אֵלָיו בְּחֹזֶק יָד הוֹצִיאָנוּ יְהוָה מִמִּצְרַיִם מִבֵּית עֲבָדִים","excel_import","2017","true","3","appendix","כללי","","false","research_vocabulary","verified_general_no_extra_notes","medium",""
"ef717bac-6338-497b-be30-1d4aca639ce2","אזמר לך בבית המקדש מן השמים","excel_import","1646","false","3","appendix","כללי","","true","research_vocabulary","unverified_general_candidate","low",""
"ef784fc0-89d9-4e45-9319-590fa480f618","כי להויה המלוכה צמח דוד 1434 ∆","excel_import","1434","false","3","appendix","כללי","","true","archival_raw","raw_unparsed_formula_dump","medium",""
"ef79a4cc-0b10-41b4-b2a2-7aa17c42246e","סוד בן דוד המספר הקדוש","excel_import","936","false","3","appendix","כללי","","false","research_vocabulary","unverified_general_candidate","low",""
"ef8a6f86-dc9e-4628-933b-2965af70fdda","זה אני יוצא בתוך מצרים","excel_import","988","false","3","appendix","כללי","","false","research_vocabulary","unverified_general_candidate","low",""
"ef8b69c0-8aa6-4bab-8b22-0f0eb767e140","מתי יבוא בן דויד","excel_import","545","true","3","appendix","כללי","","true","public_core","graph_linked_node_id","high",""
"ef8db303-0500-4b22-b285-db2ce4f5b5d1","שאול המלך יצליח","excel_import","580","true","3","appendix","כללי","","false","research_vocabulary","verified_general_no_extra_notes","medium",""
"ef95eeb1-90c2-439b-8cc1-99c2ec7e1585","דוד המלך יבנה בית המקדש","excel_import","1037","false","3","appendix","כללי","","true","research_vocabulary","unverified_general_candidate","low",""
"efc94b14-8290-415b-bc31-0a6877b15549","תמשח למלך בזמן הזה","excel_import","984","true","3","appendix","כללי","","true","research_package","verified_multi_method_documented","medium",""
"efe48bb2-8a7a-4f7f-a0e0-0d438b3c5b5a","הסוף לראשי מדינות = 1202 רגיל !","excel_import","","false","3","appendix","כללי","","true","archival_raw","raw_unparsed_formula_dump","medium",""
"efec393e-8f9b-476e-8b19-193f23c61ba8","תִּצְמַח הַיְשׁוּעָה לְיִשְׂרָאֵל-2480-אחרי","excel_import","1335","false","3","appendix","כללי","","false","research_vocabulary","unverified_general_candidate","low",""
"eff434c8-af4d-4abd-b7d1-07434270da62","בית הויה האחרון בירושלם 1296 3860 ∆ וגם","excel_import","3860","false","3","appendix","כללי","","true","archival_raw","raw_unparsed_formula_dump","medium",""
"f006213c-0a80-4e16-a082-34bf93bb46e6","יהוה אלהים ימלך לעלמי עולמים","excel_import","588","false","3","appendix","יהוה","","true","thematic_corpus","thematic_category_unverified","medium",""
"f00882a7-752e-4161-8b64-e46d832dbbf0","אני נבחר יהוה האחרון למשיח","excel_import","1005","false","3","appendix","משיח","","true","thematic_corpus","thematic_category_unverified","medium",""
"f018ec83-2f90-44bd-aef4-b8073a6fbb86","מלכות דויד לעולם ועד","excel_import","776","true","3","appendix","כללי","","true","research_package","verified_multi_method_documented","medium",""
"f019a375-8500-4106-95fb-37c6de39777e","דוד בן ישי עבדך","excel_import","482","true","3","appendix","כללי","","true","research_package","verified_multi_method_documented","medium",""
"f0251125-126e-4dc3-a54d-17ed89cb24cb","אדם אלף דלת מם","excel_import","670","true","3","appendix","כללי","","true","research_package","verified_multi_method_documented","medium",""
"f0318b1f-7e8b-4350-b6a8-f2e338c60f71","הרס עצמי אושר מיכל 256 כמו בהרס עצמי","excel_import","5786","false","3","appendix","כללי","","true","archival_raw","raw_unparsed_formula_dump","medium",""
"f04d592c-e776-4b08-b48b-6e6901554f6d","דויד בן ישי חי בימינו","excel_import","532","false","3","appendix","כללי","","true","research_vocabulary","unverified_general_candidate","low",""
